question,expected_ans,predicted_ans,article_id,matched_articles,pass_fail,reason,brand,ans_exp_5,cited_new,matched_article_new
"I need to update the mailing address, can I do it the same day the policy is cancelled?","Verify if the mailing address is the same or needs updated so that refund check/EP bill are sent to the correct address. If mailing address does need updated, please follow 2day change process"," Yes, you can update the mailing address on the same day the policy is cancelled. 

""ADDRESS NEEDS CHANGED  THIS IS A 2 DAY CHANGE
Update the mailing address on the customer page using the same date of the cancellation. DO NOT
change the exact location - changing the exact location address may result in a change in
premium. Refer to Address Change.""",kaD4T000000XZcfUAG,"kaD4T000000XZcfUAG
kaD4T000000PM6zUAG",Fail,Wrong Article for Summarization; nan,FWS,foobar,"[('kaD4T000000XmORUA0', 4.0), ('kaD4T000000PM6zUAG', 0.75), ('kaD4T000000XZcfUAG', 0.7)]","[('kaD4T000000XmORUA0', 5.0), ('kaD4T000000PM6zUAG', 2.0833333333333335), ('kaD4T0000004ef6UAA', 1.5666666666666667), ('kaD4T000000XZcfUAG', 1.4), ('kaD4T000000XdSbUAK', 1.3666666666666667)]"
When do I review driver MVR activity ?,"As an underwriter, one would not intuitively know if the quoted driver has MVR activity. However, an MVR correction may be required in the event of a policy rewrite.

If there is known driver activity on the previous policy during a rewrite, the underwriter will be able to add the correct point value based on the activity - major, minor or cite.
 

At this time, the functionality will only work for adding MVR points not deleting points.
 "," As an underwriter, one would not intuitively know if the quoted driver has MVR activity. However, an MVR
correction may be required in the event of a policy rewrite.If there is known driver activity on the previous
policy during a rewrite, the underwriter will be able to add the correct point value based on the activity -
major, minor or cite.",kaD4T000000H642UAC,kaD4T000000PF6EUAW,Fail,Unable to find Target Article; Article does not talk about revieewing MVR activity,Commercial,foobar,"[('kaD4T0000000CPxUAM', 0.5), ('kaD4T000000PF6EUAW', 0.4), ('kaD4T0000000CYlUAM', 0.3333333333333333)]","[('kaD4T000000H642UAC', 4.5), ('kaD4T0000000CgKUAU', 2.5), ('kaD4T0000000CYlUAM', 1.9999999999999998), ('kaD4T0000000CPxUAM', 1.3666666666666665), ('kaD4T000000PF6EUAW', 0.6000000000000001)]"
When do I refer auto changes to a UW?,"Add/Change an undescriptive trailer.
Adding a vehicle to a Towing or ASR risk.
Any changes to SIC: 2411 policies - Logging Trucks.
Increasing the liability limit on a tow truck or dump truck.
Increasing the liability limit to $2,000,000 on vehicles over 45,000 GVW.
Adding a high-value private passenger vehicle (in excess of 100,000).
Adding/changing heavy & extra heavy vehicles (over 45,000 GVW).
Adding Expanded Auto Classifications (i.e.: tow trucks, logging, sand gravel dirt, contract carriers etc.)
Adding sports car/high performance vehicle/luxury vehicles. See: Hold Handling Guideline (HHG): Auto BAUW7: Exotic Vehicles are not eligible for the commercial auto program
Any changes to a policy with Auto Symbol 1 (Any Auto Broad Coverage).
Placing vehicle into a storage plan (removing all coverages except comprehensive).
Conflicts regarding the cost new of a vehicle.
Vehicles with a lift attached or any other special equipment (i.e.: crane, cherry picker, etc.)
Conflicts over the proof of prior insurance documentation or rating.
Any requests to remove an unlisted driver surcharge."," Refer all class code additions or removals (Examples: Artisan Contractor, IBOP, or CPP). 
 Referrals to UW should also be made for the following: 
 - Adding/Changing heavy & extra heavy vehicles (over 45,000 GVW)
 - Adding Expanded Auto Classifications (i.e.: tow trucks, logging, sand gravel dirt, contract carriers etc.)
 - Adding sports car/high performance vehicle/luxury vehicles
 - Any changes to a policy with Auto Symbol 1 (Any Auto Broad Coverage)
 - Placing vehicle into a storage plan (removing all coverages except comprehensive)
 - Conflicts regarding the cost new of a vehicle
 - Vehicles with a lift attached or any other special equipment (i.e.: crane, cherry picker, etc.)
 - Conflicts over the proof of prior insurance documentation or rating
 - Any requests to remove an unlisted driver surcharge",kaD4T000000XnhxUAC,kaD4T000000XnhxUAC,Partial Pass,Additional Information - Not present in Article; Answer is right except last section. Last 3 lines are not from the article,Commercial,foobar,"[('kaD4T0000004DT4UAM', 1.5), ('kaD4T000000XnhxUAC', 1.3333333333333333), ('kaD4T0000004DZrUAM', 0.8333333333333333)]","[('kaD4T000000XnhxUAC', 3.3333333333333335), ('kaD4T0000004DT4UAM', 1.7), ('kaD4T000000PP8LUAW', 0.8333333333333333), ('kaD4T000000XjApUAK', 0.8333333333333333), ('kaD4T0000004DZrUAM', 0.8333333333333333)]"
How do I get an interpreter?,"Confirm with caller it is okay to hold
Click conference button on SRM soft phone
Dial the interpreter
Can dial 1-800-946-7990
Can type in 'interpreter' and select from phone book
Enter Pin #3018
Request and confirm language needed
Sometimes steps 4 and 5 may be reversed
Brief the interpreter on the nature of your call
Collect interpreter name and interpreter ID for notes
Click conference join on SRM soft phone
Remember:
Use short phrases
Speak as though you are speaking directly to the caller
Note:
If there are phone issues connecting to the interpreter line the direct line back-up is 800-434-2076 which can be dialed from the soft phone."," To get an interpreter, you can: 
 1. Confirm with the caller that it is okay to hold. 
2. Click the conference button on the SRM soft phone. 
3. Dial the interpreter. You can dial 1-800-946-7990 or type in ""interpreter"" and select from the phone book. 
4. Enter Pin #3018. 
5. Request and confirm the language needed. 
6. Sometimes steps 4 and 5 may be reversed. 
7. Brief the interpreter on the nature of your call. 
8. Collect the interpreter's name and interpreter ID for notes. 
9. Click conference join on the SRM soft phone. 
10. Remember to use short phrases and speak as though you are speaking directly to the caller. 
",kaD4T000000GpLqUAK,,Fail,Unable to find Target Article; Not sure where the ans is coming from,FACT,foobar,"[('kaD4T0000000H6bUAE', 0.25)]","[('kaD4T000000GpLqUAK', 5.0), ('kaD4T000000GpLrUAK', 2.5), ('kaD4T0000008kdHUAQ', 1.5833333333333333), ('kaD4T0000000FTEUA2', 0.8999999999999999), ('kaD4T0000000H6bUAE', 0.5)]"
What States require written request to cancel A360?,Several states require a written request to cancel but currently GA and LA are the only Agent360-related state that requires it.," The following states require a written request to cancel an A360 policy: 
- Alabama
- California 
- Georgia 
- Hawaii 
- Idaho 
- Indiana 
- Kentucky 
- Louisiana 
- Maine 
- Maryland 
- Massachusetts 
- Michigan 
- Minnesota 
- Mississippi 
- Missouri 
- Montana 
- Nebraska 
- Nevada 
- New Hampshire 
- New Jersey 
- New York 
- North Carolina 
- North Dakota 
- Ohio 
- Oklahoma 
- Oregon 
- Pennsylvania 
- Rhode Island 
- South Carolina 
- South Dakota 
- Tennessee 
- Texas 
- Utah 
- Vermont 
- Virginia 
- Washington 
- West Virginia 
- Wisconsin 
- Wyoming",kaD4T000000PGrpUAG,kaD4T000000PGrpUAG,Pass,nan; nan,FWS,foobar,"[('kaD4T000000PGrpUAG', 2.5), ('kaD4T000000XZcfUAG', 1.0), ('kaD4T000000XZd4UAG', 0.3333333333333333)]","[('kaD4T000000PGrpUAG', 4.0), ('kaD4T000000XZcfUAG', 3.5), ('kaD4T000000XiWbUAK', 1.0833333333333333), ('kaD4T000000XZd4UAG', 0.6666666666666666), ('kaD4T000000XkbxUAC', 0.6666666666666666)]"
What is the frontline advocate procedure for SR22 ?,"The insured should have the Order of Requirements For Proof of Financial Responsibility or Suspension letter in front of them to reference for necessary Information. Before submitting the SR22 template, please review the following:
If the request is for someone not on the policy, advise the customer we issue the SR22 only for rated drivers.
If they wish to add the driver then refer to: How to process Add Operator
Advise them the driver must remain listed for the duration of the policy or the expiration of the SR22.
If a customer requests an SR22 for a State other than Hawaii, refer the SR to Word Processing for possible SR22 options. Do not advise customer that it will or will not be issued.
SR22s automatically expires after 3 years from the filing date. Refer to SR26 for specifics."," Frontline advocates should follow these steps when processing SR22 requests: 

- Review the state requirements for SR22 filings. 
-  Advise the customer that an SR22 filing will be submitted to the state's 
Bureau of Motor Vehicles (BMV) on their behalf. 
- Collect the required information from the customer, including their 
driver's license number, date of birth, and insurance policy 
information. 
- Submit the SR22 filing to the BMV. 
- Provide the customer with a copy of the SR22 filing for their records. 
-  Make a note in the customer's file that an SR22 filing has been 
submitted. 
- Follow up with the customer to ensure that the SR22 filing has been 
received by the BMV.",kaD4T000000buiaUAA,,Fail,Unable to find Answer but Answer is present in Citations; Answer is in the KB,Farmers HI,foobar,"[('kaD4T000000buiaUAA', 3.0)]","[('kaD4T000000buiaUAA', 5.0), ('kaD4T000000PKZQUA4', 2.5), ('kaD4T000000XeGlUAK', 0.6000000000000001), ('kaD4T000000PKkEUAW', 0.5833333333333333), ('kaD4T000000HDOGUA4', 0.5833333333333333)]"
What is the protocol if there is query on Award submissions?,"If you or your team would like to participate in any award program, please contact External Communications for review and approval of the submission. External Communications can be reached by emailing reporterhotline@farmersinsurance.com or by calling 818 965 0007.

Drafts of the submissions should be provided to the External Communications team at least seven business days prior to the due date, as the draft will often require legal review and approval as well."," The protocol for Award submissions is as follows:

1. The agent should first check the Opportunities__c field to see if there is an existing opportunity. 
2. If there is an existing opportunity, the agent should attach the query to the opportunity. 
3. If there is no existing opportunity, the agent should create a new opportunity and attach the query to the opportunity. 
4. The agent should then send the opportunity to the brand for review. 
5. The brand will review the opportunity and either approve or reject it. 
6. If the opportunity is approved, the agent will be able to submit the query to the carrier. 
7. If the opportunity is rejected, the agent will need to revise the opportunity and resubmit it to the brand.",kaD4T0000008bYDUAY,kaD4T0000008bYDUAY,Pass,nan; nan,Farmers Specialty Auto,foobar,"[('kaD4T0000008bYDUAY', 1.0), ('kaD4T0000008UbCUAU', 0.3333333333333333)]","[('kaD4T0000004bftUAA', 3.0), ('kaD4T000000bm7OUAQ', 2.2), ('kaD4T0000008bYDUAY', 1.5), ('kaD4T0000008WTfUAM', 0.6666666666666666), ('kaD4T0000008qEEUAY', 0.45)]"
How do I process a cancellation when the insured provides an inbound correspondence?,"INCOMING CORRESPONDENCES
	Process the cancellation request as long as all information listed within the Cancellation procedure has been provided, making sure the name on the request matches the named insured on the policy. 
	Effective date of cancellation (Written Correspondence) - Use requested future date (limited to 30 days in the future from postmark date if in current term / no limit for renewals that have generated but not yet taken effect), if indicated on the letter, or date after postmark (for letters).  Use day after fax or email.  For verbal requests, see the following:
o	What changes require a signed request from the named insured?  
o	How to handle an insured's request to cancel their personal auto policy
	If the insured has written the request to cancel on a 21st Century renewal bill or a 21st Century renewal declaration page (and no specific date is requested), cancel the effective date of the renewal term. 
	When in doubt, make an outbound call to confirm the date with the insured.
	Comment on every cancellation how the request was received and how the effective date was determined. 
	For written requests, send the letter, fax or a printed copy of the email to Image for potential future reference.  NOTE: Send envelopes with work for quality only if the postmark was used to determine effective date.
o	If the Policyholder is requesting to backdate the cancellation request, we will need a Declaration Page, Proof of Insurance letter (must be on company letterhead and contain information similar to Dec), ID Card(s), or Binder in order to complete the request. 
o	Documentation must show the Named Insured(s) and vehicle(s) listed on our policy as being insured on the date that corresponds to the cancellation effective date being requested. 
o	If the request is missing info (Dec Page, POI letter, ID Card, or Binder), place an outbound call to obtain. 
	If contact is made, add a diary comment with missing information and process.  The only exception to this is a missing signature.  In this case, a revised request is required. 
	If no contact is made, add a diary comment what is needed and the effective date of cancellation. 
	Example Comment: ""Received customers request to back date cancellation effective xx/xx/xxxx, all information requested was provided, imaged request.""
	Check the policy comments to see if there is another issued for this customer in the same state or another state.  If a multi-car discount has been applied to the policy that is remaining in force, (this would only apply if it is a single vehicle policy) this discount must now be deleted. 
o	The customer should receive a call to advise them of the premium change due to the deletion of the multi-car discount. 
"," To process a cancellation when the insured provides an inbound correspondence, follow these steps:

1. Enter the cancellation date.
2. Enter the reason for cancellation.
3. Enter the effective date of the new policy (if applicable).
4. Enter the name of the insurance company providing the new policy (if applicable).
5. Enter the policy number of the new policy (if applicable).
6. Enter the date the request was received.
7. Enter the name of the person who requested the cancellation.
8. Enter the phone number of the person who requested the cancellation.
9. Enter the email address of the person who requested the cancellation.
10. Enter any other relevant information.
11. Click the ""Submit"" button.",kaD4T000000H3YpUAK,kaD4T000000H3YpUAK,Partial Pass,Incomplete Answer; Skipped few points and bullet points,Farmers HI,foobar,"[('kaD4T000000H3YpUAK', 4.0)]","[('kaD4T000000H3YpUAK', 5.0), ('kaD4T000000HDQvUAO', 1.6666666666666665), ('kaD4T000000HDOzUAO', 1.3333333333333333), ('kaD4T000000PGayUAG', 0.95), ('kaD4T000000PKsDUAW', 0.95)]"
How do I handle an undeliverable refund check?,"Undeliverable refund checks are refund checks that were returned by the post office due to an undeliverable address. 

Undeliverable refund checks are delivered to 21st Century Finance Department (DE). Finance will verify that the refund is still outstanding at the bank. If the company has placed a stop pay on the check, the refund check is then shredded. 

If the refund check is still valid AND:
If there is a forwarding address on the envelope, it will be re-mailed to the updated address and the policy will be commented. 
If there is no forwarding address: 
Finance will review comments to see if the address has been updated. If so, the check will be re-mailed to the new address. 
If there is no other information commented, the policy will be commented that the check was undeliverable. 
If the company is unable to re-mail the refund check, the check is then shredded. If the customer calls back to reissue a refund check, follow the How to Void a Refund Check procedures. "," If the refund check is still valid, Finance will check to see if there is a forwarding address on the envelope.  If there is, they will re-mail the check to the updated address and make a note on the policy.  

If there is no forwarding address, Finance will review comments to see if the address has been updated.  If so, they will re-mail the check to the new address.  

If there is no other information commented, Finance will make a note on the policy that the check was undeliverable.  

If the company is unable to re-mail the refund check, the check is shredded.  

If the customer calls back to reissue a refund check, you will need to follow the procedures for voiding a refund check. ",kaD4T000000PL07UAG,"kaD4T000000PL07UAG
kaD4T000000Cnw2UAC",Fail,"Wrong Summarization within Article; Points are rephrased, and Re ordered.  Some points looks made up. ",Farmers HI,foobar,"[('kaD4T000000PL07UAG', 1.0), ('kaD4T000000Cnw2UAC', 1.0), ('kaD4T000000CnxyUAC', 0.45)]","[('kaD4T000000PL07UAG', 5.0), ('kaD4T000000Cnw2UAC', 2.1666666666666665), ('kaD4T000000CnxyUAC', 0.9833333333333334), ('kaD4T000000HIZTUA4', 0.8333333333333333), ('kaD4T000000H3aqUAC', 0.75)]"
What reason do I use when an insured has requested to cancel their policy and the policy is in ARS?,"When cancelling a policy at the insureds request, ONLY Insureds Request reason should be used. DO NOT use any of the other cancel reasons as they should only be used by Underwriting."," When an insured has requested to cancel their policy and the policy is in ARS, you should use the reason ""Insured's Request"". 
This is the only reason that should be used when cancelling a policy at the insured's request. 
All other cancel reasons should only be used by Underwriting.
",kaD4T000000XZcfUAG,,Pass,nan; nan,FWS,foobar,"[('kaD4T000000XkbxUAC', 1.0)]","[('kaD4T000000XkbxUAC', 5.0), ('kaD4T000000HExqUAG', 1.3333333333333333), ('kaD4T000000XmORUA0', 1.2833333333333332), ('kaD4T000000XZh6UAG', 1.2333333333333334), ('kaD4T000000HExlUAG', 1.0)]"
How do I a complete an Auto Change Form in CLS?,"Modify Control screen:
1.	Type 2 - change  in the Operation field and 12-Policy Date at Issue in the Starting Point in the starting point field. Press Enter to continue
Policy Date for Issue screen:
2.	Type 8 - Forms Pull List in the Option field, press enter
Optional Forms screen:
3.	Locate the E4277  Policy Changes form, Type A  Add, press enter
Variable Forms Completion Data screen:
4.	Enter through all policy forms until reaching the E4277  Policy Changes form. 
a.	While entering, confirm all forms required for printing have been selected, this will be reflected with an X.  If a form was not automatically selected type x next to the form number and continue entering until reaching the E4277 screen as shown below.
5.	Reference the Consistent Wording Collection Page to determine the appropriate transaction type and wording
6.	Type X under the correct description of operations that matches the transaction type be performed.
7.	Enter until reaching the Description of Changes fields
	Type the description of change using the consistent wording from step 5.
	NOTE: Consistent wording for some transactions may not be referenced in the Consistent Wording.  If this occurs, please use sound judgment in wording, or reach out to local floor support for guidance.
	Each field has a 65 character limitation.  This is noted on the bottom right corner of the screen. If the number of characters exceeds allowable space, verbiage will be cut off during the document print process.
	Always place cursor on the last character typed to confirm you have not gone past the 65 character limit.
8.	Press PF9  to reach the Policy Data for Issue screen
9.	Tab to the Data Option field and Type 1 and then select Enter to continue. This will take you back to the Modify Control screen.
Modify Control screen:
10.	Type 9  Exit in the option field, press enter
Modification Control screen:
11.	Verify status of Bypass Und. 
a.	If Bypass Und is blank, Enter 1 at Starting Point and type U next to Bypass Und., press Enter through the Mailing/Billing screens until back at the Modification Control screen
 
Policy Premium Recap screen:
12.	To submit the change at the bottom of the screen type 9, press enter. 
13.	On the premium recap screen confirm the premium adjustment is accurate. Press Enter 
a.	Note: The premium recap screen will look di9fferent based on if there is a premium change or no premium change

IF PROVIDING A QUOTE ONLY, NOT SUBMITTING THE CHANGE: after noting the premium change, STOP do not push the change through! Tab to the bottom and input OPTION 1 = SUSPND to suspend the change and follow Multi-Line: CLS Processing & Navigation - How do I delete a Work In Progress (WIP)? To delete.
 
Disposition screen:
13.	On the Disposition screen complete the following information:
	Policy Documents and SCHED Print options  Entry is subject to what is outlined in the Consistent Wording Chapters. Consistent Wording Collection Page
	Renewal Option Prefilled with A-Automatic or U-Underwritten
	Note: User can override with U if policy requires underwriting review at renewal due to findings during review of requested change. Follow Multi-Line: Flagging Policies for Review at Renewal - How to Set a D Disposition in CLS and Multi-Line: Flagging Policies for Review at Renewal - How to Set a Caution Code in CLS
15.	Press Enter to complete the transaction
16.	In SRM write your comments and select the checkbox for Policy System so the comments are copied into the journal comments. Multi-Line: Journal Guidelines & Abbreviations - What information should be documented in the Policy Service Journal? "," To complete an Auto Change Form in CLS, follow these steps:

1. Select OPERATION 2 and STARTING POINT 4  Policy Level Coverages (S842 screen).


2. Enter UM/UIM limits based on the state where coverage exists. 


3. Submit:Once changes are complete, follow the steps in: Auto: Completing Change Form and Disposition in CLS  or Completing Change Form and Disposition if changes are being made to a policy with GL or Property coverage, in order to complete the change.


4. Use Consistent Wording Collection Page for completing the E4277.


5. Be sure to leave appropriate Journal comments including the Service Request number and the change that was processed.",kaD4T000000Gs0lUAC,,Fail,Unable to find Target Article; Not sure which article was used by LLM,Commercial,foobar,"[('kaD4T000000TSnPUAW', 0.3333333333333333)]","[('kaD4T000000Gs0lUAC', 5.0), ('kaD4T000000H0buUAC', 1.7499999999999998), ('kaD4T000000XjApUAK', 1.5333333333333332), ('kaD4T000000TSnPUAW', 0.8333333333333333), ('kaD4T000000PF6EUAW', 0.75)]"
Is a cell phone bill an acceptable document to list a driver as out of household (OOH)?,Any variation of No," A cell phone bill is not an acceptable document to list a driver as out of household (OOH). 

The acceptable Proof of Residency documents are listed below. 

 - A copy of a current utility bill (gas, water, electric, landline phone, or cable) 
 - A copy of a current bank statement 
 - A copy of a current credit card statement 
 - A copy of a current paycheck stub 
 - A copy of a current government-issued ID (driver's license, state ID, passport) 
 - A copy of a current lease agreement 
 - A copy of a current mortgage statement 
 - A copy of a current vehicle registration 
 - A copy of a current insurance policy 
 - A copy of a current tax return",kaD4T000000XndjUAC,"kaD4T000000XndjUAC
kaD4T0000004dr9UAA",Pass,Additional Information; nan,Farmers,foobar,"[('kaD4T000000XndjUAC', 4.0), ('kaD4T0000004dr9UAA', 1.6666666666666665), ('kaD4T0000004drjUAA', 0.2)]","[('kaD4T000000XndjUAC', 5.0), ('kaD4T0000004drkUAA', 2.1666666666666665), ('kaD4T0000004dr9UAA', 1.9999999999999998), ('kaD4T000000Xmm3UAC', 1.0999999999999999), ('kaD4T0000004drjUAA', 0.95)]"
How do I set up automatic payments through the secure payment line if the customer has a saved payment method?,"1.	Click on PaymentsHub button within the customer's Direct Bill Account
2.	Click the set up autopay button.
3.	Complete the required fields in the Paymentus
	The payor drop down will pre-fill with the customer's account number, but the business name, first name and last name fields will need to be completed. 
	Phone number and email address will need to be completed.
4.	Under Payment Information, select the saved payment method the customer wants to use.
 Maximum Payment Amount Note:
	Use the ""Maximum Payment Amount"" field if the customer wants a maximum draft amount for scheduled payments. This field is NOT required.
5.	Click Submit if all the information on the screen is correct.
6.	Advise the customer there is an authorization form for automatic payment. See the suggested phrasing below:
""You will receive an Authorization Form through DocuSign that you will be required to sign and return to us to complete.
 
If you have an outstanding invoice at the time the Authorization Form is returned, you will need to make a manual payment. If there is no outstanding invoice at the time the Authorization Form is returned, we will schedule your next payment automatically.
 
You will receive a confirmation email once the Authorization Form is returned and the setup is complete. The email will let you know if a manual payment will be needed.""

 "," Advise the customer there is an authorization form for automatic payments. 

On the next screen, confirm that the information is accurate.
If needed, you can click the Change buttons to edit information in the corresponding sections. 

Select the Authorization Type. This indicates how the customer would like to sign the EFT authorization
form:

Paper Form: When Paper Form is selected, a link to download the form will generate just below
the Authorization Type options. 

Electronic Signature: Select this option if the customer requests to sign the EFT authorization form using
DocuSign. An optional field will appear for the agents email address if you would like to be CCd
on DocuSign emails sent to the customer.

Click Submit.",kaD4T000000Xbr3UAC,kaD4T000000H5DDUA0,Fail,Unable to find Target Article; Article referred has no reference of Secure payment line,Commercial,foobar,"[('kaD4T000000H5DDUA0', 1.4166666666666665), ('kaD4T000000XbpCUAS', 1.0), ('kaD4T000000XnriUAC', 0.5)]","[('kaD4T000000XbpCUAS', 5.0), ('kaD4T000000XnriUAC', 2.5), ('kaD4T000000H5DDUA0', 1.4166666666666665), ('kaD4T000000bvq1UAA', 0.9166666666666665), ('kaD4T000000blztUAA', 0.8500000000000001)]"
How to reinstate policy if cancelled mid-term?,"If policy is cancelled mid-term: insured has 10 days to reinstate without a lapse
insured has an additional 10 days to reinstate with a lapse (reinstatement fee will apply)
See the cancel invoice for the dates and details"," To reinstate a policy that has been cancelled mid-term, you will need to contact your insurance company as soon as possible. 
They will be able to walk you through the process and let you know what documentation and information you will need to provide. 
In general, you will need to pay the full amount of the premium that was due at the time of cancellation, as well as any late fees or other charges that may have been incurred. 
You may also need to provide proof of insurability, such as a new driver's license or a medical exam. 
Once you have provided all of the required information and paid the necessary fees, your policy will be reinstated and you will be covered again.
",kaD4T000000XmdlUAC,kaD4T0000008nheUAA,Pass,nan; nan,Farmers Specialty Auto,foobar,"[('kaD4T0000008nheUAA', 1.0), ('kaD4T0000008UP6UAM', 1.0), ('kaD4T0000009deUUAQ', 0.3333333333333333), ('kaD4T0000004aI0UAI', 0.2)]","[('kaD4T0000004EJvUAM', 2.0), ('kaD4T0000009deUUAQ', 1.9166666666666665), ('kaD4T0000008UP6UAM', 1.5), ('kaD4T0000004N2iUAE', 1.0833333333333333), ('kaD4T0000008nheUAA', 1.0)]"
How to access flood information from Agency dashboard ?,"At the top of the Farmers Dashboard, click the Personal tab
Note: Another window will open. You will need to click the X on the Critical Notifications window.
Click the Flood tab on the lower section of the screen
Choose from the links provided to obtain the needed information
"," To access flood information from Agency Dashboard, follow these steps:

1. Log in to your Agency Dashboard.
2. At the bottom of your Dashboard landing page, locate the Binding Restrictions, Critical Notifications, Farmers News and Rates & Rules Changes section.
3. Click Now available on Agency News & Resources Portal!
4. Locate the Rate and Rules section on the bottom right.
5. Scroll to the bottom and click More Rate & Rule Changes.
6. You will now see Rate and Rule information for all applicable business units.
7. Information related to ForemostSTAR products will be labeled as Specialty.
8. To search up to 90 days back, scroll to the bottom and select Last 90 days.",kaD4T0000004fNIUAY,kaD4T0000004fNIUAY,Pass,nan; nan,Specialty,foobar,"[('kaD4T0000004fNIUAY', 5.0), ('kaD4T0000004HHIUA2', 0.25)]","[('kaD4T0000004fNIUAY', 5.0), ('kaD4T000000PBLjUAO', 2.333333333333333), ('kaD4T0000004HHIUA2', 1.0333333333333332), ('kaD4T000000HGEoUAO', 0.8333333333333333), ('kaD4T000000L3I3UAK', 0.5333333333333333)]"
What is customer docusign workflow ?,Answer is in Image so not expecting answer from LLM," The customer docusign workflow is as follows:

1. The customer receives an email from DocuSign with a link to the document.
2. The customer clicks on the link and is taken to the DocuSign website.
3. The customer creates a DocuSign account and signs the document.
4. The customer clicks on the ""Finish"" button and the document is sent to the recipient.
5. The recipient receives an email from DocuSign with a link to the signed document.
6. The recipient clicks on the link and is taken to the DocuSign website.
7. The recipient views the signed document and clicks on the ""Accept"" button.
8. The document is now complete and can be viewed by both the customer and the recipient.",kaD4T000000H4lIUAS,"kaD4T000000H4lIUAS
kaD4T000000H4FGUA0",Fail,"Wrong Article for Summarization; Articl eis about ""How to process Docusign - Customer Decline""",Farmers HI,foobar,"[('kaD4T000000H4lIUAS', 1.0333333333333332), ('kaD4T000000H4FVUA0', 1.0), ('kaD4T000000H4FGUA0', 0.7833333333333333), ('kaD4T000000H4DyUAK', 0.5)]","[('kaD4T000000H4FVUA0', 3.5833333333333335), ('kaD4T000000HDReUAO', 2.9166666666666665), ('kaD4T000000H4DyUAK', 2.5), ('kaD4T000000H4FGUA0', 1.1833333333333333), ('kaD4T000000H4lIUAS', 1.0333333333333332)]"
What to do if the insured is getting a divorce and the vehicle is registered to the caller?,"SINGLE VEHICLE AND SOLELY REGISTERED TO THE CALLER 
Before processing any changes, request a copy of their registration and a written statement. 
Written Statement: Should be from the insured and state they are divorced and no longer in the household. Signature by the insured is required. 
Once received, 
Update Marital Status 
Delete Spouse: 
If the spouse is listed as ANI, okay to remove from policy. 
If the spouse is listed as PNI, send a referral to the Back Office to process. 
List Spouse as Other Insurance 
ReviewBilling on the policy. 
Comment the policy "," If the vehicle is titled and registered to both parties, the lienholder must be listed on the 
declarations page. If the vehicle is titled and registered solely in the caller's name and the 
caller would like to insure it, the caller must provide a copy of the divorce decree or a 
letter from an attorney stating that the caller is the sole owner of the vehicle. If the vehicle 
is titled and registered solely in the caller's name and the caller does not want to insure it, 
the caller must provide a copy of the divorce decree or a letter from an attorney stating 
that the other party is the sole owner of the vehicle.",kaD4T000000blzyUAA,kaD4T000000TNFbUAO,Fail,Wrong Article for Summarization; nan,Farmers HI,foobar,"[('kaD4T000000TNFbUAO', 2.25), ('kaD4T000000HFajUAG', 1.0), ('kaD4T000000Xls7UAC', 0.8333333333333333), ('kaD4T000000PLPRUA4', 0.5833333333333333), ('kaD4T000000HFbhUAG', 0.45)]","[('kaD4T000000HFajUAG', 3.0), ('kaD4T000000TNFbUAO', 2.5833333333333335), ('kaD4T000000Xls7UAC', 0.8333333333333333), ('kaD4T000000PLPRUA4', 0.5833333333333333), ('kaD4T000000HDITUA4', 0.5)]"
What are the Processing Options for the SR-21?,"Processing Options:
Same Day Service:
Walk into a Farmers Hawaii office.  See:  Where are the Farmers Hawaii office sites located?
Same day NOT available when walking into a Neighbor Island office.  When they walk-into the neighbor island office, the notice will be routed to the Honolulu Claims office for issuance. 
5-7 day Processing: 
Mail the Order of Security Requirements or Suspension notice to: 
Farmers Insurance Hawaii
Claims Services
PO BOX 770
Honolulu, HI 96808

The SR-21 will be mailed to the Financial Responsibility section and a copy sent to the Named Insured. "," The Processing Options for the SR-21 are: 

Same Day Service: Walk into a Farmers Hawaii office. See: Where are the Farmers Hawaii office sites located? 
Same day NOT available when walking into a Neighbor Island office. When they walk-into the neighbor island office, the notice will be routed to the Honolulu Claims office for issuance.

5-7 day Processing: Mail the Order of Security Requirements or Suspension notice to: Farmers Insurance Hawaii Claims Services, P.O BOX 770, Honolulu, HI 96808. The SR-21 will be mailed to the Financial Responsibility section and a copy sent to the Named Insured.",kaD4T000000HDVWUA4,kaD4T000000HDVWUA4,Pass,nan; nan,Farmers HI,foobar,"[('kaD4T000000HDVWUA4', 1.0), ('kaD4T000000PKZQUA4', 0.5)]","[('kaD4T000000HDVWUA4', 5.0), ('kaD4T000000buiaUAA', 1.7833333333333332), ('kaD4T000000H4DyUAK', 1.6999999999999997), ('kaD4T000000PKZQUA4', 1.0), ('kaD4T000000Xls7UAC', 0.7)]"
